classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
0.0,"O que ela acha dos governos Bolivarianos na América do Sul tais como, Venezuela, Argentina, Equador, etc.","O que ela acha dos governos Bolivarianos na América do Sul tais como, Venezuela, Argentina, Equador, etc.",O que ela acha dos governos Bolivarianos na América do Sul tais como Venezuela Argentina Equador etc,O que ela acha dos governos Bolivarianos na America do Sul tais como Venezuela Argentina Equador etc,O acha governos Bolivarianos America Sul tais Venezuela Argentina Equador etc,o acha governos bolivarianos america sul tais venezuela argentina equador etc,o ach govern bolivari amer sul tal venezuel argentin equ etc
0.0,"À semelhança de Marina Silva (seus partidos ainda unir-se-ão) proferiu posicionamentos tolos, insípidos (esperados, porém) diante da desastrosa governança brasileira, já tão rica em indigência de ideias.","À semelhança de Marina Silva (seus partidos ainda unir-se-ão) proferiu posicionamentos tolos, insípidos (esperados, porém) diante da desastrosa governança brasileira, já tão rica em indigência de ideias.",À semelhança de Marina Silva seus partidos ainda unirseão proferiu posicionamentos tolos insípidos esperados porém diante da desastrosa governança brasileira já tão rica em indigência de ideias,A semelhanca de Marina Silva seus partidos ainda unirseao proferiu posicionamentos tolos insipidos esperados porem diante da desastrosa governanca brasileira ja tao rica em indigencia de ideias,A semelhanca Marina Silva partidos ainda unirseao proferiu posicionamentos tolos insipidos esperados porem diante desastrosa governanca brasileira tao rica indigencia ideias,a semelhanca marina silva partidos ainda unirseao proferiu posicionamentos tolos insipidos esperados porem diante desastrosa governanca brasileira tao rica indigencia ideias,a semelhanc marin silv part aind unirsea profer posicion tol insip esper por di desastr governanc brasil tao ric indigenc ide
0.0,"Reacionários, pois!","Reacionários, pois!",Reacionários pois,Reacionarios pois,Reacionarios pois,reacionarios pois,reacionari poi
0.0,Muito lúcida essa moça.,Muito lúcida essa moça.,Muito lúcida essa moça,Muito lucida essa moca,Muito lucida moca,muito lucida moca,muit luc moc
0.0,"É pena que defenda um socialismo utópico, não científico.","É pena que defenda um socialismo utópico, não científico.",É pena que defenda um socialismo utópico não científico,E pena que defenda um socialismo utopico nao cientifico,E pena defenda socialismo utopico cientifico,e pena defenda socialismo utopico cientifico,e pen defend soci utop cientif
0.0,"Mas pelas manifestações dos Kochinhas, aqui, e de outros fascistas, ela merece todo apoio.","Mas pelas manifestações dos Kochinhas, aqui, e de outros fascistas, ela merece todo apoio.",Mas pelas manifestações dos Kochinhas aqui e de outros fascistas ela merece todo apoio,Mas pelas manifestacoes dos Kochinhas aqui e de outros fascistas ela merece todo apoio,Mas manifestacoes Kochinhas aqui outros fascistas merece todo apoio,mas manifestacoes kochinhas aqui outros fascistas merece todo apoio,mas manifestaco koch aqu outr fasc merec tod apoi
0.0,Comunista bom é comunista morto!!!,Comunista bom é comunista morto!!!,Comunista bom é comunista morto,Comunista bom e comunista morto,Comunista bom comunista morto,comunista bom comunista morto,comun bom comun mort
0.0,"Quem curte, Venezuela e Cuba, não tem moral para falar de democracia.","Quem curte, Venezuela e Cuba, não tem moral para falar de democracia.",Quem curte Venezuela e Cuba não tem moral para falar de democracia,Quem curte Venezuela e Cuba nao tem moral para falar de democracia,Quem curte Venezuela Cuba moral falar democracia,quem curte venezuela cuba moral falar democracia,qu curt venezuel cub moral fal democrac
0.0,O cinismo leva pessoas a apoiar ditadores se fazerem de democratas.,O cinismo leva pessoas a apoiar ditadores se fazerem de democratas.,O cinismo leva pessoas a apoiar ditadores se fazerem de democratas,O cinismo leva pessoas a apoiar ditadores se fazerem de democratas,O cinismo leva pessoas apoiar ditadores fazerem democratas,o cinismo leva pessoas apoiar ditadores fazerem democratas,o cinism lev pesso apoi dit faz democrat
0.0,De qual tipo você esta falando?,De qual tipo você esta falando?,De qual tipo você esta falando,De qual tipo voce esta falando,De tipo falando,de tipo falando,de tip fal
0.0,Vá ver nos EUA se a população se sente em um regime opressor.,Vá ver nos EUA se a população se sente em um regime opressor.,Vá ver nos EUA se a população se sente em um regime opressor,Va ver nos EUA se a populacao se sente em um regime opressor,Va ver EUA populacao sente regime opressor,va ver eua populacao sente regime opressor,va ver eua populaca sent regim opres
0.0,"Cuba e Venezuela são mais democráticas que os EUA, fique sabendo.","Cuba e Venezuela são mais democráticas que os EUA, fique sabendo.",Cuba e Venezuela são mais democráticas que os EUA fique sabendo,Cuba e Venezuela sao mais democraticas que os EUA fique sabendo,Cuba Venezuela democraticas EUA fique sabendo,cuba venezuela democraticas eua fique sabendo,cub venezuel democra eua fiqu sab
0.0,"Coitada de Porto Alegre, que consiga escapar desta política!!!","Coitada de Porto Alegre, que consiga escapar desta política!!!",Coitada de Porto Alegre que consiga escapar desta política,Coitada de Porto Alegre que consiga escapar desta politica,Coitada Porto Alegre consiga escapar desta politica,coitada porto alegre consiga escapar desta politica,coit port alegr consig escap dest poli
0.0,"Coitada de Sao Paulo que nao conseguiu escapar dos Maluf, Marin, etc, isso sim!","Coitada de Sao Paulo que nao conseguiu escapar dos Maluf, Marin, etc, isso sim!",Coitada de Sao Paulo que nao conseguiu escapar dos Maluf Marin etc isso sim,Coitada de Sao Paulo que nao conseguiu escapar dos Maluf Marin etc isso sim,Coitada Sao Paulo conseguiu escapar Maluf Marin etc sim,coitada sao paulo conseguiu escapar maluf marin etc sim,coit sao paul consegu escap maluf marin etc sim
0.0,"Olha, eu não concordo com tudo o que ela falou, mas adorei a frase . . . com o Congresso nacional presidido por um bandido, como Eduardo Cunha. . .","Olha, eu não concordo com tudo o que ela falou, mas adorei a frase . . . com o Congresso nacional presidido por um bandido, como Eduardo Cunha. . .",Olha eu não concordo com tudo o que ela falou mas adorei a frase    com o Congresso nacional presidido por um bandido como Eduardo Cunha  ,Olha eu nao concordo com tudo o que ela falou mas adorei a frase    com o Congresso nacional presidido por um bandido como Eduardo Cunha  ,Olha concordo tudo falou adorei frase Congresso nacional presidido bandido Eduardo Cunha,olha concordo tudo falou adorei frase congresso nacional presidido bandido eduardo cunha,olh concord tud fal ador fras congress nacion presid band eduard cunh
0.0,"Luciana Genro é a cara do atraso, defende ditaduras e idolatra ditadores assassinos, ela e seu papai que quebrou o Rio Grande do Sul falam de pobreza, mas adoram uma vida cheia luxo, nababesca, representam a podridão e a alienação raivosa que está levando o país ao caos.","Luciana Genro é a cara do atraso, defende ditaduras e idolatra ditadores assassinos, ela e seu papai que quebrou o Rio Grande do Sul falam de pobreza, mas adoram uma vida cheia luxo, nababesca, representam a podridão e a alienação raivosa que está levando o país ao caos.",Luciana Genro é a cara do atraso defende ditaduras e idolatra ditadores assassinos ela e seu papai que quebrou o Rio Grande do Sul falam de pobreza mas adoram uma vida cheia luxo nababesca representam a podridão e a alienação raivosa que está levando o país ao caos,Luciana Genro e a cara do atraso defende ditaduras e idolatra ditadores assassinos ela e seu papai que quebrou o Rio Grande do Sul falam de pobreza mas adoram uma vida cheia luxo nababesca representam a podridao e a alienacao raivosa que esta levando o pais ao caos,Luciana Genro cara atraso defende ditaduras idolatra ditadores assassinos papai quebrou Rio Grande Sul falam pobreza adoram vida cheia luxo nababesca representam podridao alienacao raivosa levando pais caos,luciana genro cara atraso defende ditaduras idolatra ditadores assassinos papai quebrou rio grande sul falam pobreza adoram vida cheia luxo nababesca representam podridao alienacao raivosa levando pais caos,luci genr car atras defend ditad idolatr dit assassin pap quebr rio grand sul fal pobr ador vid chei lux nababesc represent podrida alienaca raiv lev pal cao
0.0,"Ótima entrevista, o que se observa pela quantidade de comentários raivosos: centra-se na pessoa e ignora-se as idéias defendidas, as quais, vejam só, partem do bom senso, mas que contrariam interesses de grupos poderosos e da ideologia dominante.","Ótima entrevista, o que se observa pela quantidade de comentários raivosos: centra-se na pessoa e ignora-se as idéias defendidas, as quais, vejam só, partem do bom senso, mas que contrariam interesses de grupos poderosos e da ideologia dominante.",Ótima entrevista o que se observa pela quantidade de comentários raivosos centrase na pessoa e ignorase as idéias defendidas as quais vejam só partem do bom senso mas que contrariam interesses de grupos poderosos e da ideologia dominante,Otima entrevista o que se observa pela quantidade de comentarios raivosos centrase na pessoa e ignorase as ideias defendidas as quais vejam so partem do bom senso mas que contrariam interesses de grupos poderosos e da ideologia dominante,Otima entrevista observa quantidade comentarios raivosos centrase pessoa ignorase ideias defendidas quais vejam partem bom senso contrariam interesses grupos poderosos ideologia dominante,otima entrevista observa quantidade comentarios raivosos centrase pessoa ignorase ideias defendidas quais vejam partem bom senso contrariam interesses grupos poderosos ideologia dominante,otim entrev observ quant comentari raiv centras pesso ignoras ide defend qual vej part bom sens contr inter grup poder ideolog domin
0.0,Quais ideias?,Quais ideias?,Quais ideias,Quais ideias,Quais ideias,quais ideias,qual ide
0.0,Quem não tem capacidade de discutir ideias discute pessoas.,Quem não tem capacidade de discutir ideias discute pessoas.,Quem não tem capacidade de discutir ideias discute pessoas,Quem nao tem capacidade de discutir ideias discute pessoas,Quem capacidade discutir ideias discute pessoas,quem capacidade discutir ideias discute pessoas,qu capac discut ide discut pesso
0.0,Ó na carruagem do ritmo de candidata Mainha do BR.,Ó na carruagem do ritmo de candidata Mainha do BR.,Ó na carruagem do ritmo de candidata Mainha do BR,O na carruagem do ritmo de candidata Mainha do BR,O carruagem ritmo candidata Mainha BR,o carruagem ritmo candidata mainha br,o carruag ritm candidat mainh br
0.0,* OBS. Repito.,* OBS. Repito., OBS Repito, OBS Repito,OBS Repito,obs repito,ob repit
0.0,Se essa galera do desgov.br ( toda galera incluídos mestres ) trabalhasse numa estatal chinesa pegaria Prisão ## Perpétua ##,Se essa galera do desgov.br ( toda galera incluídos mestres ) trabalhasse numa estatal chinesa pegaria Prisão ## Perpétua ##,Se essa galera do desgovbr  toda galera incluídos mestres  trabalhasse numa estatal chinesa pegaria Prisão  Perpétua ,Se essa galera do desgovbr  toda galera incluidos mestres  trabalhasse numa estatal chinesa pegaria Prisao  Perpetua ,Se galera desgovbr toda galera incluidos mestres trabalhasse estatal chinesa pegaria Prisao Perpetua,se galera desgovbr toda galera incluidos mestres trabalhasse estatal chinesa pegaria prisao perpetua,se gal desgovbr tod gal inclu mestr trabalh estatal chin peg prisa perpetu
0.0,É verdade.,É verdade.,É verdade,E verdade,E verdade,e verdade,e verdad
0.0,Retroagiu ao tempo em que os mesmos juristas que condenam o impeachment hoje forma signatários de uma solicitação de impeachment contra FHC.,Retroagiu ao tempo em que os mesmos juristas que condenam o impeachment hoje forma signatários de uma solicitação de impeachment contra FHC.,Retroagiu ao tempo em que os mesmos juristas que condenam o impeachment hoje forma signatários de uma solicitação de impeachment contra FHC,Retroagiu ao tempo em que os mesmos juristas que condenam o impeachment hoje forma signatarios de uma solicitacao de impeachment contra FHC,Retroagiu tempo mesmos juristas condenam impeachment hoje forma signatarios solicitacao impeachment contra FHC,retroagiu tempo mesmos juristas condenam impeachment hoje forma signatarios solicitacao impeachment contra fhc,retroag temp mesm jurist conden impeachment hoj form signatari solicitaca impeachment contr fhc
