sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
"O pensamento do Dr. Janot era de agosto de 2015, provavelmente agora, com as provas enviadas pelo Dr.Sergio Moro ao TSE de que teve dinheiro da corrupção na campanha petista, o pensamente dele só pode ser de isso é muito grave, é gravíssimo.","O pensamento do Dr. Janot era de agosto de 2015, provavelmente agora, com as provas enviadas pelo Dr.Sergio Moro ao TSE de que teve dinheiro da corrupção na campanha petista, o pensamente dele só pode ser de isso é muito grave, é gravíssimo.",0,O pensamento do Dr Janot era de agosto de 2015 provavelmente agora com as provas enviadas pelo DrSergio Moro ao TSE de que teve dinheiro da corrupção na campanha petista o pensamente dele só pode ser de isso é muito grave é gravíssimo,O pensamento do Dr Janot era de agosto de 2015 provavelmente agora com as provas enviadas pelo DrSergio Moro ao TSE de que teve dinheiro da corrupcao na campanha petista o pensamente dele so pode ser de isso e muito grave e gravissimo,O pensamento Dr Janot agosto 2015 provavelmente agora provas enviadas DrSergio Moro TSE dinheiro corrupcao campanha petista pensamente pode ser grave gravissimo,o pensamento dr janot agosto 2015 provavelmente agora provas enviadas drsergio moro tse dinheiro corrupcao campanha petista pensamente pode ser grave gravissimo,o pens dr janot agost 2015 prova agor prov envi drsergi mor tse dinh corrupca campanh petist pens pod ser grav graviss
FSP para ajudar a Dilma até parecer de agosto do ano passado do procurador na ação menos importante ela noticia.,FSP para ajudar a Dilma até parecer de agosto do ano passado do procurador na ação menos importante ela noticia.,0,FSP para ajudar a Dilma até parecer de agosto do ano passado do procurador na ação menos importante ela noticia,FSP para ajudar a Dilma ate parecer de agosto do ano passado do procurador na acao menos importante ela noticia,FSP ajudar Dilma parecer agosto ano passado procurador acao menos importante noticia,fsp ajudar dilma parecer agosto ano passado procurador acao menos importante noticia,fsp ajud dilm parec agost ano pass procur aca menos import notic
"Chorem, xinguem, mas exijam, que todos que foram citados sejam investigados; sejam honestos com vcs mesms, pelo menos uma vez na vida!","Chorem, xinguem, mas exijam, que todos que foram citados sejam investigados; sejam honestos com vcs mesms, pelo menos uma vez na vida!",0,Chorem xinguem mas exijam que todos que foram citados sejam investigados sejam honestos com vcs mesms pelo menos uma vez na vida,Chorem xinguem mas exijam que todos que foram citados sejam investigados sejam honestos com vcs mesms pelo menos uma vez na vida,Chorem xinguem exijam todos citados investigados honestos vcs mesms menos vez vida,chorem xinguem exijam todos citados investigados honestos vcs mesms menos vez vida,chor xing exij tod cit investig honest vc mesm menos vez vid
Quem colocou a incompetente na presidência vai assinar fsp...!!,Quem colocou a incompetente na presidência vai assinar fsp...!!,0,Quem colocou a incompetente na presidência vai assinar fsp,Quem colocou a incompetente na presidencia vai assinar fsp,Quem colocou incompetente presidencia vai assinar fsp,quem colocou incompetente presidencia vai assinar fsp,qu coloc incompet presidenc vai assin fsp
Há de se convir que os argumentos do Procurador Geral é de Agosto de 2015 quando nào estava ainda comprovado o uso de dinheiro público via corrupção da Lava Jato na campanha petista à presidência da república.,Há de se convir que os argumentos do Procurador Geral é de Agosto de 2015 quando nào estava ainda comprovado o uso de dinheiro público via corrupção da Lava Jato na campanha petista à presidência da república.,0,Há de se convir que os argumentos do Procurador Geral é de Agosto de 2015 quando nào estava ainda comprovado o uso de dinheiro público via corrupção da Lava Jato na campanha petista à presidência da república,Ha de se convir que os argumentos do Procurador Geral e de Agosto de 2015 quando nao estava ainda comprovado o uso de dinheiro publico via corrupcao da Lava Jato na campanha petista a presidencia da republica,Ha convir argumentos Procurador Geral Agosto 2015 ainda comprovado uso dinheiro publico via corrupcao Lava Jato campanha petista presidencia republica,ha convir argumentos procurador geral agosto 2015 ainda comprovado uso dinheiro publico via corrupcao lava jato campanha petista presidencia republica,ha conv argument procur geral agost 2015 aind comprov uso dinh publ via corrupca lav jat campanh petist presidenc republ
"Agora que está comprovado que foi usado dinheiro da corrupção na campanha petista provavelmente o pensamento do Procurador muda, pois isso é gravíssimo, mais grave do que isso nào pode existir.","Agora que está comprovado que foi usado dinheiro da corrupção na campanha petista provavelmente o pensamento do Procurador muda, pois isso é gravíssimo, mais grave do que isso nào pode existir.",0,Agora que está comprovado que foi usado dinheiro da corrupção na campanha petista provavelmente o pensamento do Procurador muda pois isso é gravíssimo mais grave do que isso nào pode existir,Agora que esta comprovado que foi usado dinheiro da corrupcao na campanha petista provavelmente o pensamento do Procurador muda pois isso e gravissimo mais grave do que isso nao pode existir,Agora comprovado usado dinheiro corrupcao campanha petista provavelmente pensamento Procurador muda pois gravissimo grave pode existir,agora comprovado usado dinheiro corrupcao campanha petista provavelmente pensamento procurador muda pois gravissimo grave pode existir,agor comprov us dinh corrupca campanh petist prova pens procur mud poi graviss grav pod exist
Eh F. S. P. podendo dar uma mascarada na situação é com esse jornal mesmo,Eh F. S. P. podendo dar uma mascarada na situação é com esse jornal mesmo,0,Eh F S P podendo dar uma mascarada na situação é com esse jornal mesmo,Eh F S P podendo dar uma mascarada na situacao e com esse jornal mesmo,Eh F S P podendo dar mascarada situacao jornal,eh f s p podendo dar mascarada situacao jornal,eh f s p pod dar mascar situaca jorn
o quê esperar deste cretino deste janot?????,o quê esperar deste cretino deste janot?????,0,o quê esperar deste cretino deste janot,o que esperar deste cretino deste janot,esperar deste cretino deste janot,esperar deste cretino deste janot,esper dest cretin dest janot
o brasil tem que ser resratizado.,o brasil tem que ser resratizado.,0,o brasil tem que ser resratizado,o brasil tem que ser resratizado,brasil ser resratizado,brasil ser resratizado,brasil ser resr
Ponderação!,Ponderação!,0,Ponderação,Ponderacao,Ponderacao,ponderacao,ponderaca
É claro que o procurador está correto.,É claro que o procurador está correto.,0,É claro que o procurador está correto,E claro que o procurador esta correto,E claro procurador correto,e claro procurador correto,e clar procur corret
Não existe nenhuma campanha totalmente sem erros cometidos pelos inúmeros participantes.,Não existe nenhuma campanha totalmente sem erros cometidos pelos inúmeros participantes.,0,Não existe nenhuma campanha totalmente sem erros cometidos pelos inúmeros participantes,Nao existe nenhuma campanha totalmente sem erros cometidos pelos inumeros participantes,Nao existe nenhuma campanha totalmente erros cometidos inumeros participantes,nao existe nenhuma campanha totalmente erros cometidos inumeros participantes,nao exist nenhum campanh total err comet inumer particip
Tem-se que avaliar a gravidade.,Tem-se que avaliar a gravidade.,0,Temse que avaliar a gravidade,Temse que avaliar a gravidade,Temse avaliar gravidade,temse avaliar gravidade,tems avali grav
O Brasil esta quebrado e esta dona não fará nada pq não sabe o que fazer!,O Brasil esta quebrado e esta dona não fará nada pq não sabe o que fazer!,0,O Brasil esta quebrado e esta dona não fará nada pq não sabe o que fazer,O Brasil esta quebrado e esta dona nao fara nada pq nao sabe o que fazer,O Brasil quebrado dona fara nada pq sabe fazer,o brasil quebrado dona fara nada pq sabe fazer,o brasil quebr don far nad pq sab faz
"Ela quebrou uma loja de badulaques, a PeTrobrás e o Brasil!","Ela quebrou uma loja de badulaques, a PeTrobrás e o Brasil!",0,Ela quebrou uma loja de badulaques a PeTrobrás e o Brasil,Ela quebrou uma loja de badulaques a PeTrobras e o Brasil,Ela quebrou loja badulaques PeTrobras Brasil,ela quebrou loja badulaques petrobras brasil,ela quebr loj badulaqu petrobr brasil
Ou ela sai ou o Brasil derreterá!,Ou ela sai ou o Brasil derreterá!,0,Ou ela sai ou o Brasil derreterá,Ou ela sai ou o Brasil derretera,Ou sai Brasil derretera,ou sai brasil derretera,ou sai brasil derret
É muita incompetência... e menosprezo pela inteligência alheia!!!,É muita incompetência... e menosprezo pela inteligência alheia!!!,0,É muita incompetência e menosprezo pela inteligência alheia,E muita incompetencia e menosprezo pela inteligencia alheia,E muita incompetencia menosprezo inteligencia alheia,e muita incompetencia menosprezo inteligencia alheia,e muit incompetenc menosprez inteligenc alhe
Um cara pra falar isso é porque perdeu a vergonha na cara.,Um cara pra falar isso é porque perdeu a vergonha na cara.,0,Um cara pra falar isso é porque perdeu a vergonha na cara,Um cara pra falar isso e porque perdeu a vergonha na cara,Um cara pra falar porque perdeu vergonha cara,um cara pra falar porque perdeu vergonha cara,um car pra fal porqu perd vergonh car
Despudorado. Seja quem for!,Despudorado. Seja quem for!,0,Despudorado Seja quem for,Despudorado Seja quem for,Despudorado Seja,despudorado seja,despudor sej
"Sr Ministro, Pense no povo Brasileiro, Na Educação na Saúde na falta total de segurança .","Sr Ministro, Pense no povo Brasileiro, Na Educação na Saúde na falta total de segurança .",0,Sr Ministro Pense no povo Brasileiro Na Educação na Saúde na falta total de segurança ,Sr Ministro Pense no povo Brasileiro Na Educacao na Saude na falta total de seguranca ,Sr Ministro Pense povo Brasileiro Na Educacao Saude falta total seguranca,sr ministro pense povo brasileiro na educacao saude falta total seguranca,sr ministr pens pov brasil na educaca saud falt total seguranc
Pense em nos pense na nossa família.,Pense em nos pense na nossa família.,0,Pense em nos pense na nossa família,Pense em nos pense na nossa familia,Pense pense familia,pense pense familia,pens pens famil
ouça o clamor do povo .,ouça o clamor do povo .,0,ouça o clamor do povo ,ouca o clamor do povo ,ouca clamor povo,ouca clamor povo,ouc clam pov
Pegou muito mal ao STF interferir noutro poder da República para impedir o impeachment de miss Pasadena.,Pegou muito mal ao STF interferir noutro poder da República para impedir o impeachment de miss Pasadena.,0,Pegou muito mal ao STF interferir noutro poder da República para impedir o impeachment de miss Pasadena,Pegou muito mal ao STF interferir noutro poder da Republica para impedir o impeachment de miss Pasadena,Pegou mal STF interferir noutro poder Republica impedir impeachment miss Pasadena,pegou mal stf interferir noutro poder republica impedir impeachment miss pasadena,peg mal stf interfer noutr pod republ imped impeachment mis pasaden
Está na hora do Sr Janot focar também em outros parlamentares além do Cunha.,Está na hora do Sr Janot focar também em outros parlamentares além do Cunha.,0,Está na hora do Sr Janot focar também em outros parlamentares além do Cunha,Esta na hora do Sr Janot focar tambem em outros parlamentares alem do Cunha,Esta hora Sr Janot focar outros parlamentares alem Cunha,esta hora sr janot focar outros parlamentares alem cunha,est hor sr janot foc outr parlament alem cunh
A corrupção é muito grande para cair no colo de um só.,A corrupção é muito grande para cair no colo de um só.,0,A corrupção é muito grande para cair no colo de um só,A corrupcao e muito grande para cair no colo de um so,A corrupcao grande cair colo,a corrupcao grande cair colo,a corrupca grand cair col
A verdade é que a oposição e seus eleitores não aceitaram até agora que a Dilma venceu a eleição para presidente.,A verdade é que a oposição e seus eleitores não aceitaram até agora que a Dilma venceu a eleição para presidente.,0,A verdade é que a oposição e seus eleitores não aceitaram até agora que a Dilma venceu a eleição para presidente,A verdade e que a oposicao e seus eleitores nao aceitaram ate agora que a Dilma venceu a eleicao para presidente,A verdade oposicao eleitores aceitaram agora Dilma venceu eleicao presidente,a verdade oposicao eleitores aceitaram agora dilma venceu eleicao presidente,a verdad oposica elei aceit agor dilm venc eleica presid
